memberId,AVG_POINTS_BOUGHT,AVG_REVENUE_USD,LAST_3_TRANSACTIONS_AVG_POINTS_BOUGHT,LAST_3_TRANSACTIONS_AVG_REVENUE_USD,PCT_BUY_TRANSACTIONS,PCT_GIFT_TRANSACTIONS,PCT_REDEEM_TRANSACTIONS,DAYS_SINCE_LAST_TRANSACTION,ats,resp,offer,fetch_member_data_latency,calculate_features_latency,get_predictions_latency,assign_offer_latency,total_latency
A0F18FAA,500.0,2.5,500.0,2.5,0.0,1.0,0.0,2538,500.0,0.002953918865695155,35% Bonus,0.006202220916748047,0.0009353160858154297,0.008333921432495117,0.006104230880737305,0.0215756893157959
351FD0E1,7800.0,11.142857142857142,7800.0,11.142857142857142,0.0,1.0,0.0,2538,7800.0,0.013166038372812692,35% Bonus,0.0015177726745605469,7.390975952148438e-05,0.002986431121826172,0.0015876293182373047,0.006165742874145508
4534B5EA,-900.0,0.0,-900.0,0.0,0.0,0.0,1.0,2537,0.0,0.0,35% Bonus,0.0013234615325927734,6.699562072753906e-05,0.0029447078704833984,0.0015597343444824219,0.005894899368286133
D70B88C5,6000.0,3.1578947368421053,6000.0,3.1578947368421053,1.0,0.0,0.0,2537,6000.0,0.0049769814607440585,35% Bonus,0.0013318061828613281,6.580352783203125e-05,0.0028955936431884766,0.0016124248504638672,0.005905628204345703
A2C53B36,6000.0,3.3333333333333335,6000.0,3.3333333333333335,1.0,0.0,0.0,2537,6000.0,0.0052534804307853965,35% Bonus,0.0013430118560791016,4.8160552978515625e-05,0.00311279296875,0.001445770263671875,0.005949735641479492
6902D348,1700.0,0.9444444444444444,1700.0,0.9444444444444444,1.0,0.0,0.0,2537,1700.0,0.0014884861220558622,35% Bonus,0.0013659000396728516,4.863739013671875e-05,0.0031366348266601562,0.001516580581665039,0.006067752838134766
3A1B7EE5,-5900.0,0.0,-5900.0,0.0,0.0,0.0,1.0,2536,0.0,0.0,35% Bonus,0.0014803409576416016,4.9591064453125e-05,0.0029392242431640625,0.0014510154724121094,0.0059201717376708984
B92C2959,2800.0,1.4,2800.0,1.4,0.0,1.0,0.0,2536,2800.0,0.0016554986204178161,35% Bonus,0.001369476318359375,4.839897155761719e-05,0.002812623977661133,0.0014200210571289062,0.005650520324707031
92F2C52C,-7900.0,0.0,-7900.0,0.0,0.0,0.0,1.0,2535,0.0,0.0,35% Bonus,0.001346588134765625,6.747245788574219e-05,0.002885580062866211,0.0014352798461914062,0.005734920501708984
434EB631,9200.0,23.0,9200.0,23.0,1.0,0.0,0.0,2535,9200.0,0.0362776025236593,50% Discount,0.0013840198516845703,4.863739013671875e-05,0.002804279327392578,0.0014030933380126953,0.0056400299072265625
CCE5330A,8100.0,4.5,8100.0,4.5,1.0,0.0,0.0,2535,8100.0,0.007097791798107255,35% Bonus,0.0013396739959716797,4.792213439941406e-05,0.002882242202758789,0.0014209747314453125,0.005690813064575195
2567D20E,-2000.0,0.0,-2000.0,0.0,0.0,0.0,1.0,2535,0.0,0.0,35% Bonus,0.0014095306396484375,5.2928924560546875e-05,0.00328826904296875,0.0016551017761230469,0.006405830383300781
84C7F4C5,4700.0,5.222222222222222,4700.0,5.222222222222222,0.0,1.0,0.0,2534,4700.0,0.006180144641683103,35% Bonus,0.0013844966888427734,7.05718994140625e-05,0.003028392791748047,0.0016434192657470703,0.006126880645751953
3CB06B20,6900.0,3.6315789473684212,6900.0,3.6315789473684212,1.0,0.0,0.0,2534,6900.0,0.005730302086577391,35% Bonus,0.0013575553894042969,7.224082946777344e-05,0.0030663013458251953,0.0016703605651855469,0.0061664581298828125
6CF35330,8700.0,29.0,8700.0,29.0,0.0,1.0,0.0,2533,8700.0,0.03433307024467245,50% Discount,0.0013201236724853516,5.507469177246094e-05,0.0030410289764404297,0.0016977787017822266,0.006114006042480469
BE4B1889,-6500.0,0.0,-6500.0,0.0,0.0,0.0,1.0,2533,0.0,0.0,35% Bonus,0.001394033432006836,7.224082946777344e-05,0.0029358863830566406,0.0015954971313476562,0.005997657775878906
0C29817B,-8800.0,0.0,-8800.0,0.0,0.0,0.0,1.0,2532,0.0,0.0,35% Bonus,0.0014104843139648438,7.295608520507812e-05,0.002903461456298828,0.0015370845794677734,0.0059239864349365234
B3D37DD7,5000.0,25.0,5000.0,25.0,1.0,0.0,0.0,2532,5000.0,0.03947887879984208,35% Bonus,0.0014030933380126953,7.271766662597656e-05,0.002977609634399414,0.0014719963073730469,0.005925416946411133
CB819F1C,-1000.0,0.0,-1000.0,0.0,0.0,0.0,1.0,2532,0.0,0.0,35% Bonus,0.0014181137084960938,7.104873657226562e-05,0.002947092056274414,0.0014812946319580078,0.005917549133300781
8303F46E,6400.0,3.5555555555555554,6400.0,3.5555555555555554,0.0,1.0,0.0,2532,6400.0,0.0042110804053164886,35% Bonus,0.0013875961303710938,7.152557373046875e-05,0.002939939498901367,0.0014908313751220703,0.005889892578125
141D2CF5,6300.0,5.7272727272727275,6300.0,5.7272727272727275,0.0,1.0,0.0,2531,6300.0,0.006785868160275743,35% Bonus,0.0014014244079589844,6.866455078125e-05,0.002996206283569336,0.0017511844635009766,0.006217479705810547
76F0942D,6200.0,62.0,6200.0,62.0,1.0,0.0,0.0,2531,6200.0,0.09794628751974722,50% Discount,0.0013604164123535156,7.152557373046875e-05,0.003142833709716797,0.0016283988952636719,0.006203174591064453
EDBD5B25,6300.0,4.5,6300.0,4.5,0.0,1.0,0.0,2531,6300.0,0.005331753554502369,35% Bonus,0.0013318061828613281,7.152557373046875e-05,0.003034830093383789,0.0017521381378173828,0.006190299987792969
589101BF,-2300.0,0.0,-2300.0,0.0,0.0,0.0,1.0,2530,0.0,0.0,35% Bonus,0.0013370513916015625,7.343292236328125e-05,0.0030975341796875,0.0017137527465820312,0.006221771240234375
8F55E5FD,6600.0,6.0,6600.0,6.0,0.0,1.0,0.0,2530,6600.0,0.007111813512445672,35% Bonus,0.0013532638549804688,7.43865966796875e-05,0.003206968307495117,0.0016825199127197266,0.006317138671875
2567D20E,3900.0,2.45,3900.0,2.45,0.0,0.5,0.5,2529,0.0,0.002905138339920949,35% Bonus,0.0014908313751220703,0.00010395050048828125,0.0032525062561035156,0.0016460418701171875,0.006493330001831055
96E9CB29,-1800.0,0.0,-1800.0,0.0,0.0,0.0,1.0,2529,0.0,0.0,35% Bonus,0.001382589340209961,7.62939453125e-05,0.0031468868255615234,0.0017800331115722656,0.00638580322265625
EC3BDD69,-4100.0,0.0,-4100.0,0.0,0.0,0.0,1.0,2528,0.0,0.0,35% Bonus,0.0013849735260009766,7.510185241699219e-05,0.0030243396759033203,0.0016021728515625,0.006086587905883789
19ED018D,4100.0,6.833333333333333,4100.0,6.833333333333333,1.0,0.0,0.0,2528,4100.0,0.010807960985896928,35% Bonus,0.0013773441314697266,7.43865966796875e-05,0.0030553340911865234,0.0016064643859863281,0.006113529205322266
65BECAA8,-5400.0,0.0,-5400.0,0.0,0.0,0.0,1.0,2528,0.0,0.0,35% Bonus,0.0013518333435058594,7.62939453125e-05,0.0030527114868164062,0.0016226768493652344,0.006103515625
9857F1CD,1700.0,1.2142857142857142,1700.0,1.2142857142857142,0.0,1.0,0.0,2526,1700.0,0.0014415738594606817,35% Bonus,0.001363515853881836,7.176399230957031e-05,0.0030698776245117188,0.0014984607696533203,0.006003618240356445
A67C5D0B,-4500.0,0.0,-4500.0,0.0,0.0,0.0,1.0,2526,0.0,0.0,35% Bonus,0.0013382434844970703,7.081031799316406e-05,0.0030128955841064453,0.00156402587890625,0.00598597526550293
